title,difficulty,category
"The Amazing Spider-Man (2012)",1,Movie,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
"The Incredibles (2004)",1,Movie,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
"Jaws (1975)",1,Movie,"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
"How the Grinch Stole Christmas (2000)",1,Movie,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
"Captain America: The Winter Soldier (2014)",1,Movie,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
"The Hobbit: The Desolation of Smaug (2013)",1,Movie,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
"The Lego Movie (2014)",1,Movie,"An ordinary LEGO construction worker, thought to be the prophesied as "special", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
"Star Trek (2009)",1,Movie,"The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time."
"I Am Legend (2007)",1,Movie,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
"The Blind Side (2009)",1,Movie,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
"The Hobbit: The Battle of the Five Armies (2014)",1,Movie,"Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness."
"The Hangover Part II (2011)",1,Movie,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry."
"Despicable Me (2010)",1,Movie,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
"Batman (1989)",1,Movie,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker."
"Night at the Museum (2006)",1,Movie,"A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc."
"Men in Black (1997)",1,Movie,"A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth."
"Harry Potter and the Prisoner of Azkaban (2004)",1,Movie,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
"Moana (2016)",1,Movie,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
"Indiana Jones and the Raiders of the Lost Ark (1981)",1,Movie,"In 193archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
"Toy Story 2 (1999)",1,Movie,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
"Transformers: Age of Extinction (2014)",1,Movie,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help."
"Cars (2006)",1,Movie,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
"Ghostbusters (1984)",1,Movie,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
"Bruce Almighty (2003)",1,Movie,"A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world."
"Twister (1996)",1,Movie,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
"My Big Fat Greek Wedding (2002)",1,Movie,"A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity."
"Maleficent (2014)",1,Movie,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
"Pirates of the Caribbean: On Stranger Tides (2011)",1,Movie,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
"Shrek Forever After (2010)",1,Movie,"Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme."
"Fast & Furious 6 (2013)",1,Movie,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
"Brave (2012)",1,Movie,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
"Oz the Great and Powerful (2013)",1,Movie,"A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches."
"X-Men: The Last Stand (2006)",1,Movie,"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
"War of the Worlds (2005)",1,Movie,"An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival."
"Fantastic Beasts and Where to Find Them (2016)",1,Movie,"The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school."
"X-Men: Days of Future Past (2014)",1,Movie,"The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
"Cast Away (2000)",1,Movie,"A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island."
"The Exorcist (1973)",1,Movie,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
"Doctor Strange (2016)",1,Movie,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
"The Lost World: Jurassic Park (1997)",1,Movie,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda."
"Justice League (2017)",1,Movie,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
"Star Trek Into Darkness (2013)",1,Movie,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
"The Martian (2015)",1,Movie,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
"Signs (2002)",1,Movie,"A widowed former priest living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come."
"Hancock (2008)",1,Movie,"Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image."
"The Bourne Ultimatum (2007)",1,Movie,"Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer."
"Logan (2017)",1,Movie,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
"Rush Hour 2 (2001)",1,Movie,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam."
"The Fate of the Furious (2017)",1,Movie,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
"Shang-Chi and the Legend of the Ten Rings (2021)",1,Movie,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization."
"WALL·E (2008)",1,Movie,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
"Big Hero 6 (2014)",1,Movie,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
"Mission: Impossible - Fallout (2018)",1,Movie,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
"National Treasure: Book of Secrets (2007)",1,Movie,"Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln."
"Alvin and the Chipmunks: The Squeakquel (2009)",1,Movie,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes."
